,local_name,item,like,chat,date
0,        제주 제주시 용담삼동,전자레인지 밥솥 에어프라이기팝니다.,3,8,2022-09-05 04:23:20
1,        제주 제주시 화북동,제주 라마다호텔 수영장(사우나) 이용권,4,7,2022-09-05 04:23:20
2,        제주 제주시 연동,캠핑의자,9,1,2022-09-05 04:23:20
3,        제주 제주시 외도동,책장,1,9,2022-09-05 04:23:20
4,        제주 제주시 도남동,화분정리다이,5,6,2022-09-05 04:23:20
5,        제주 제주시 애월읍,고가구,4,9,2022-09-05 04:23:20
6,        제주 제주시 노형동,배달용으로쓰던 PCX 21년식 판매합니다,2,8,2022-09-05 04:23:20
7,        제주 제주시 일도2동,냉장고 팔아요,1,1,2022-09-05 04:23:20
8,        제주 제주시 도남동,LG 냉장고 판매합니다,4,5,2022-09-05 04:23:20
9,        제주 제주시 용담삼동,선반 팝니다,5,8,2022-09-05 04:23:20
10,        제주 제주시 외도동,스팸 팝니다,2,4,2022-09-05 04:23:20
11,        제주 제주시 노형동,이사가야돼서 싸게 넘겨요~,5,4,2022-09-05 04:23:20
12,        제주 제주시 한림읍,태진 노래방 기계 팝니다,4,1,2022-09-05 04:23:20
13,        제주 서귀포시 서호동,겔럭시 z플립3 5G 자급제 폰,1,5,2022-09-05 04:23:20
14,        제주 제주시 이도1동,변기(양변기)세면대 있어요,0,6,2022-09-05 04:23:20
15,        제주 제주시 아라동,선반,1,5,2022-09-05 04:23:20
16,        제주 제주시 이도2동,노형오거리부근 베스트웨스턴제주호텔 2박 숙박 양도합니다 (2인실 1박에 2만원),0,6,2022-09-05 04:23:20
17,        제주 제주시 연동,앵글 팔아요,4,5,2022-09-05 04:23:20
18,        제주 서귀포시 성산읍,냉장고254리터,1,6,2022-09-05 04:23:20
19,        제주 제주시 외도동,탁구대,3,5,2022-09-05 04:23:20
20,        제주 제주시 애월읍,아이폰13프로 그라파이트 256기가 팝니다,4,1,2022-09-05 04:23:20
21,        제주 제주시 건입동,제습기,2,9,2022-09-05 04:23:20
22,        제주 제주시 일도2동,스텐드 에어컨 5만원에 철거해서 가져가실분,0,6,2022-09-05 04:23:20
23,        제주 서귀포시 대포동,전기온풍기 1만원,1,0,2022-09-05 04:23:20
24,        제주 제주시 한림읍,팍스 테이블쏘 판매합니다.,9,5,2022-09-05 04:23:20
25,        제주 제주시 용담삼동,실내자전거 팝니다.,2,7,2022-09-05 04:23:20
26,        제주 서귀포시 대정읍,한샘 싱글 침대,0,6,2022-09-05 04:23:20
27,        제주 제주시 이도2동,그래픽카드,2,0,2022-09-05 04:23:20
28,        제주 서귀포시 안덕면,삼성 그랑데 세탁기 21kg (1년 사용),9,9,2022-09-05 04:23:20
29,        제주 제주시 화북동,싱크대 사실분잇나요,4,4,2022-09-05 04:23:20
30,        제주 제주시 이도2동,아이폰XR,1,5,2022-09-05 04:23:20
31,        제주 제주시 조천읍,수납장,4,5,2022-09-05 04:23:20
32,        제주 제주시 한경면,남은시멘트팔아요,2,6,2022-09-05 04:23:20
33,        제주 서귀포시 서홍동,22년 xmax 팔거나 대차원해요,9,5,2022-09-05 04:23:20
34,        제주 제주시 한림읍,영어.영아다중.세계명작.노부영등 모든 DVD정리.,3,4,2022-09-05 04:23:20
35,        제주 제주시 연동,갤럭시워치4 44mm 블랙,2,4,2022-09-05 04:23:20
36,        제주 제주시 일도2동,라꾸라꾸침대,2,3,2022-09-05 04:23:20
37,        제주 제주시 화북동,뉴월드(마트로)상품권 10만원팝니다.,0,5,2022-09-05 04:23:20
38,        제주 제주시 일도2동,농협상품권,0,4,2022-09-05 04:23:20
39,        제주 제주시 연동,자전거팔아요,5,5,2022-09-05 04:23:20
40,        제주 제주시 오라동,웨건 - 담다 상판포함,3,6,2022-09-05 04:23:20
41,        제주 제주시 삼도1동,삼성이동식에어컨 겸 제습기,2,4,2022-09-05 04:23:20
42,        제주 제주시 한림읍,컨테이너3×6,4,4,2022-09-05 04:23:20
43,        제주 제주시 노형동,이사로인해 1년도 안쓴 가구정리합니다~!!^^,6,8,2022-09-05 04:23:20
44,        제주 제주시 해안동,Lg 디오스 양문형 냉장고 팝니다. (원하시면 김치냉장고도 함께 드려요),4,7,2022-09-05 04:23:20
45,        제주 서귀포시 성산읍,제주 신화월드 서머셋 9/4-9/6 판매해오ㅡ.,1,9,2022-09-05 04:23:20
46,        제주 제주시 이도2동,초보용 기타 팔아요,3,6,2022-09-05 04:23:20
47,        제주 서귀포시 대정읍,야외테이블 팝니다,3,4,2022-09-05 04:23:20
48,        제주 제주시 노형동,특대러그(200*300),2,5,2022-09-05 04:23:20
49,        제주 제주시 도남동,모니터 판매합니다,1,5,2022-09-05 04:23:20
50,        제주 제주시 화북동,다이슨 에어랩 드라이기,5,6,2022-09-05 04:23:20
51,        제주 제주시 용담2동,(급)9월 4-5 메종글래드제주도 호텔 양도합니다!,7,4,2022-09-05 04:23:20
52,        제주 제주시 오라동,자전거 미니벨로,5,8,2022-09-05 04:23:20
53,        제주 서귀포시 서귀동,스팸 0호,7,8,2022-09-05 04:23:20
54,        제주 제주시 삼도1동,타이틀리스트경량골프백팝니다,4,7,2022-09-05 04:23:20
55,        제주 제주시 건입동,오늘 체크인 서귀포 팜밸리리조트 양도합니다.. 독채풀빌라/10만원,9,1,2022-09-05 04:23:20
56,        제주 제주시 연동,타이틀리스트 집업,1,4,2022-09-05 04:23:20
57,        제주 제주시 애월읍,2~3인 소파 팝니다,6,6,2022-09-05 04:23:20
58,        제주 제주시 노형동,옷들 저렴하게 가져가세요 4탄,3,5,2022-09-05 04:23:20
59,        제주 제주시 삼도1동,"보쉬 임팩 GDR 10.8V-EC ,  해머드릴 GSB10.8-2 LI",4,3,2022-09-05 04:23:20
60,        제주 서귀포시 대정읍,이케아 둑티그 주방놀이,5,5,2022-09-05 04:23:20
61,        제주 제주시 일도2동,여전에 쓰던 플룻 사용하실분 연락주세요,2,4,2022-09-05 04:23:20
62,        제주 제주시 구좌읍,키즈채움풀빌라 펜션 양도합니다,1,0,2022-09-05 04:23:20
63,        제주 서귀포시 남원읍,냉동고 팔아요 한달 썼엉ㅅ,8,3,2022-09-05 04:23:20
64,        제주 제주시 노형동,1년도 안된 화장대  정리합니다~,9,4,2022-09-05 04:23:20
65,        제주 제주시 연동,자전거,4,4,2022-09-05 04:23:20
66,        제주 제주시 연동,전자레인지,0,8,2022-09-05 04:23:20
67,        제주 제주시 용담2동,갸프팝니다,6,7,2022-09-05 04:23:20
68,        제주 서귀포시 안덕면,흔들의자 싸게 가져가세요,2,0,2022-09-05 04:23:20
69,        제주 제주시 외도일동,선반 침대선반팔아요,4,3,2022-09-05 04:23:20
70,        제주 제주시 조천읍,우두레이 자작나무 파티션,2,0,2022-09-05 04:23:20
71,        제주 제주시 노형동,플립3 자급제,2,5,2022-09-05 04:23:20
72,        제주 제주시 노형동,골프보스턴백,1,4,2022-09-05 04:23:20
73,        제주 제주시 일도2동,갤럭시핏2 스마트밴드 팝니다,4,3,2022-09-05 04:23:20
74,        제주 서귀포시 성산읍,시마노 세피아 ci4 릴 세피아 tt 에깅대 팝니다 에기전부 포함,1,6,2022-09-05 04:23:20
75,        제주 제주시 노형동,현대 상품권 팔아용 !,0,5,2022-09-05 04:23:20
76,        제주 서귀포시 동홍동,sm8  58도웨지  팝니다,5,7,2022-09-05 04:23:20
77,        제주 제주시 노형동,위닉스 제습기,5,6,2022-09-05 04:23:20
78,        제주 제주시 노형동,지에스상품권50만원 팝니다,6,5,2022-09-05 04:23:20
79,        제주 제주시 조천읍,마카롱 패밀리 시리즈 수납장,6,3,2022-09-05 04:23:20
80,        제주 제주시 아라동,신세계상품권 5만원권,2,5,2022-09-05 04:23:20
81,        제주 서귀포시 중문동,다혼 접이식 자전거,7,7,2022-09-05 04:23:20
82,        제주 서귀포시 성산읍,창고 정리중 오셔서 필요한거 가져가세요,2,6,2022-09-05 04:23:20
83,        제주 서귀포시 서홍동,낚시용품 팔아요,1,4,2022-09-05 04:23:20
84,        제주 제주시 조천읍,호텔 리젠트 제주 9월 4-5일 1박 2일 판매합니다,2,4,2022-09-05 04:23:20
85,        제주 제주시 도두이동,숙박,2,8,2022-09-05 04:23:20
86,        제주 제주시 애월읍,보쉬 18v 충전드릴,1,5,2022-09-05 04:23:20
87,        제주 제주시 일도2동,식용유 선물셋트,2,3,2022-09-05 04:23:20
88,        제주 제주시 외도동,침대 프레임 팔아요.,8,6,2022-09-05 04:23:20
89,        제주 제주시 오라이동,아이브 포카,8,7,2022-09-05 04:23:20
90,        제주 제주시 이도2동,아이폰 12 미니,4,0,2022-09-05 04:23:20
91,        제주 제주시 구좌읍,9/5-9/6 라마다시티호텔 조식포함(이도이동) 양도합니다~!,6,4,2022-09-05 04:23:20
